Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.18.2-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.18.2-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/iq-2020-release-notes.html,https://support.sonatype.com/hc/en-us/articles/1500000415082-CVE-2020-29436-Nexus-Repository-Manager-3-XML-External-Entities-injection-2020-12-15,HTTP 404,404,See the CVE-2020-29436 advisory for details.
Sonatype IQ Server,https://help.sonatype.com/en/release-specific-upgrade-instructions.html,https://support.sonatype.com/hc/en-us/articles/360058028653-Error-during-SSO-login-Authentication-failed-due-to-SAML-error-after-upgrading-Nexus-Repo-3-or-IQ-Server,HTTP 404,404,"... if not done you may encounter an authentication error. See Error during SSO login ""Authentication failed due to SAML error"" after upgrading Nexus Repository 3 or IQ Server for more information...."
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,https://plugins.jenkins.io/nexus-jenkins-plugin/,HTTP 404,404,...is actively working to resolve a distribution issue for the nexus-jenkins-plugin . This is a temporary distribution issue and could affect a...
Sonatype Integrations,https://help.sonatype.com/en/pull-request-commenting.html,https://support.sonatype.com/hc/en-us/articles/5932871948691-Remediation-recommendations-don-t-load-consistently,HTTP 404,404,"If you experience challenges with seeing Transitive Solver recommendations, please refer to this Knowledgebase article ."
Sonatype Integrations,https://help.sonatype.com/en/sonatype-fortify-ssc.html,https://asciinema.org/a/ayZZAOazTqyhv9AsEuNABgo75,Connection Failed (persistent),0,The visual guide shows a quick example of unpacking and running the service.
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4408801690515,HTTP 404,404,This release includes a security fix for an incorrect access control. See the CVE-2021-42568 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4409326330003,HTTP 404,404,This release includes a security fix for a server side request forgery vulnerability. See CVE-2021-43293 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/create-a-helm-repository.html,https://helm.ngc.nvidia.com/nvidia,HTTP 404,404,Set the remote storage URL to https://helm.ngc.nvidia.com/nvidia
Sonatype Nexus Repository,https://help.sonatype.com/en/create-an-oci-repository.html,https://registry-1.docker.io,HTTP 404,404,"Remote storage URL, for example https://registry-1.docker.io ."
Sonatype Nexus Repository,https://help.sonatype.com/en/media-page.html,https://help.sonatype.com/en/404-page.html,Link to 404 error page (likely broken reference),404,Prev
Sonatype Nexus Repository,https://help.sonatype.com/en/404-page.html,https://help.sonatype.com/en/404-page.html#content-wrapper,Link to 404 error page (likely broken reference),404,Skip to main content
Sonatype Nexus Repository,https://help.sonatype.com/en/openid-connect.html,https://sso.your.domain/auth/realms/nexus,Connection Failed (persistent),0,"Authorization URL - The authorization URL (authorization endpoint) of your OP, for example https://sso.your.domain/auth/realms/nexus"
