Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype Developer,https://help.sonatype.com/en/bundle-development.html,https://github.com/sonatype/nexus-public/tree/master/assemblies/,HTTP 404,404,...ion of Nexus Repository. These definitions are found in the assemblies module. The supported distributions are defined in the modu...
Sonatype Developer,https://help.sonatype.com/en/sonatype-scan-gradle-plugin.html,http://https://discuss.gradle.org/t/is-there-any-way-to-skip-gradle-instrumenting-classpath-file-transformer/45213/3,Connection Failed (persistent),0,Supported Gradle versions are ranges due to a known bug in Gradle for plugins with multi-jar dependencies. See more at GitHub and Gradle .
Sonatype IQ Server,https://help.sonatype.com/en/iq-2024-release-notes.html,urn:resource:component:213657,Invalid URN link in HTML (not a valid web URL),0,Dependency Scorecard
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,urn:resource:component:140135,Invalid URN link in HTML (not a valid web URL),0,...We have added methods to the ??? . Users can retrieve repository configurations using the ne...
Sonatype IQ Server,https://help.sonatype.com/en/iq-2020-release-notes.html,https://support.sonatype.com/hc/en-us/articles/1500000415082-CVE-2020-29436-Nexus-Repository-Manager-3-XML-External-Entities-injection-2020-12-15,HTTP 404,404,See the CVE-2020-29436 advisory for details.
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,https://plugins.jenkins.io/nexus-jenkins-plugin/,HTTP 404,404,...is actively working to resolve a distribution issue for the nexus-jenkins-plugin . This is a temporary distribution issue and could affect a...
Sonatype IQ Server,https://help.sonatype.com/en/webhooks-concepts--iq-server-and-slack-integration.html,http://slackapi.github.io/node-slack-sdk/,HTTP 404,404,"...Looking at Slack for more information, we found the Slack Developer Kit for Node.js . This kit is great because they have something that makes ..."
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.18.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.18.1-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/container-deployments.html,https://repo1.dso.mil/dsop/sonatype/nexus-iq-server/nexus-iq-server,Timeout (after retries),0,Iron Bank for Sonatype IQ Server
Sonatype IQ Server,https://help.sonatype.com/en/cloud-deployments.html,https://repo1.dso.mil/dsop/sonatype/nexus/nexus,Timeout (after retries),0,Iron Bank for Nexus Repository
Sonatype Integrations,https://help.sonatype.com/en/notable-integrations-changes.html,urn:resource:component:252381,Invalid URN link in HTML (not a valid web URL),0,"For full details, see the Sonatype Platform Plugin for Jenkins help documentation ."
Sonatype Integrations,https://help.sonatype.com/en/notable-integrations-changes.html,https://repo.sonatype.com/repository/sonatype-hosted/pki/deb-gpg/GPG-KEY-sonatype-apt-hosted.asc ,HTTP 404,404,https://repo.sonatype.com/repository/sonatype-hosted/pki/deb-gpg/GPG-KEY-sonatype-apt-hosted.asc
Sonatype Lifecycle,https://help.sonatype.com/en/pull-request-commenting.html,https://support.sonatype.com/hc/en-us/articles/5932871948691-Remediation-recommendations-don-t-load-consistently,HTTP 404,404,"If you experience challenges with seeing Transitive Solver recommendations, please refer to this Knowledgebase article ."
Sonatype Lifecycle,https://help.sonatype.com/en/automated-pull-requests.html,https://github.com/samplecount/samplerepo.,HTTP 404,404,"...e a repository URL, which much be entered as an HTTPS, e.g. https://github.com/samplecount/samplerepo. The trailing .git is optional. If an ssh:// URL is used, Li..."
Sonatype Lifecycle,https://help.sonatype.com/en/automated-pull-requests-in-npm.html,https://docs.npmjs.com/misc/semver,HTTP 404,404,https://docs.npmjs.com/misc/semver
Sonatype Lifecycle,https://help.sonatype.com/en/hugging-face-model-analysis.html,http://FastText,Connection Failed (persistent),0,FastText
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-35-0-release-notes.html,urn:resource:component:116739,Invalid URN link in HTML (not a valid web URL),0,"...'re new to repository replication, be sure to check out our Repository Replication help documentation ...."
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4408801690515,HTTP 404,404,This release includes a security fix for an incorrect access control. See the CVE-2021-42568 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/2021-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4409326330003,HTTP 404,404,This release includes a security fix for a server side request forgery vulnerability. See CVE-2021-43293 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/configuring-the-runtime-environment.html,urn:resource:component:747831,Invalid URN link in HTML (not a valid web URL),0,"...level handling of encoded characters in proxy requests, see Preserve Encoded Characters . This setting is configured per proxy repository and is se..."
Sonatype Nexus Repository,https://help.sonatype.com/en/realms.html,urn:resource:component:798517,Invalid URN link in HTML (not a valid web URL),0,See Hugging Face Repositories
