Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype IQ Server,https://help.sonatype.com/en/release-specific-upgrade-instructions.html,https://support.sonatype.com/hc/en-us/articles/360058028653-Error-during-SSO-login-Authentication-failed-due-to-SAML-error-after-upgrading-Nexus-Repo-3-or-IQ-Server,HTTP 404,404,"... if not done you may encounter an authentication error. See Error during SSO login ""Authentication failed due to SAML error"" after upgrading Nexus Repository 3 or IQ Server for more information...."
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.18.2-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.18.2-01.zip ( ASC , SHA1 )"
Sonatype Integrations,https://help.sonatype.com/en/pull-request-commenting.html,https://support.sonatype.com/hc/en-us/articles/5932871948691-Remediation-recommendations-don-t-load-consistently,HTTP 404,404,"If you experience challenges with seeing Transitive Solver recommendations, please refer to this Knowledgebase article ."
Sonatype Lifecycle,https://help.sonatype.com/en/certificates-and-secure-connections.html,https://www.techopedia.com/definition/5594/java-development-kit-jdk,HTTP 404,404,... command-line program comes with the Java Development Kit ( JDK ). The examples in this guide will use keytool. For more in...
Sonatype Lifecycle,https://help.sonatype.com/en/webhooks-concepts--iq-server-and-slack-integration.html,http://slackapi.github.io/node-slack-sdk/,HTTP 404,404,"...Looking at Slack for more information, we found the Slack Developer Kit for Node.js . This kit is great because they have something that makes ..."
Sonatype Lifecycle,https://help.sonatype.com/en/certificates-and-secure-connections.html,https://searchsecurity.techtarget.com/definition/Transport-Layer-Security-TLS,HTTP 404,404,...Transport Layer Security ( TLS ) is a standard security protocol for creating an encrypted...
Sonatype Lifecycle,https://help.sonatype.com/en/docker-image-analysis.html,https://wiki.jenkins.io/display/JENKINS/Nexus+Platform+Plugin,HTTP 404,404,...evaluation. You need a running instance of Jenkins with the Sonatype Platform plugin to run policy evaluations. Specify an agent node that has D...
Sonatype Nexus Repository,https://help.sonatype.com/en/download.html,https://download.sonatype.com/nexus/nexus-instance-migrator/nexus-repository-instance-migrator-1.1.28-01.jar.md5,HTTP 404,404,Nexus Repository Instance Migrator Download ( MD5 )
Sonatype Nexus Repository,https://help.sonatype.com/en/resilient-nexus-repository-deployment-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/create-an-oci-repository.html,https://registry-1.docker.io,HTTP 404,404,"Remote storage URL, for example https://registry-1.docker.io ."
